id,emp_no,title,from_date,to_date
12883,18716,Engineer,1991-10-13,1998-10-13
12884,18716,Senior Engineer,1998-10-13,9999-01-01
13199,18931,Staff,1995-11-28,9999-01-01
14119,19555,Engineer,1999-02-07,9999-01-01
14444,19770,Staff,1998-10-03,9999-01-01
14537,19836,Staff,1996-03-14,9999-01-01
12062,18157,Engineer,1997-07-21,9999-01-01
15203,20285,Staff,1995-09-25,9999-01-01
15011,20152,Senior Staff,1997-05-16,9999-01-01
15521,20501,Senior Engineer,1986-01-08,9999-01-01
15408,20424,Senior Staff,1994-08-03,9999-01-01
15409,20424,Staff,1987-08-03,1994-08-03
15603,20556,Engineer,1990-11-05,1997-11-05
15604,20556,Senior Engineer,1997-11-05,9999-01-01
16143,20918,Staff,1999-11-13,9999-01-01
15797,20686,Engineer,1989-10-07,1996-10-07
15798,20686,Senior Engineer,1996-10-07,9999-01-01
15825,20705,Technique Leader,1998-03-17,9999-01-01
15983,20814,Senior Staff,1994-04-30,9999-01-01
15984,20814,Staff,1987-04-30,1994-04-30
16236,20983,Engineer,1999-01-18,9999-01-01
16067,20871,Senior Staff,2001-08-22,9999-01-01
16068,20871,Staff,1994-08-22,2001-08-22
16438,21125,Staff,1998-08-13,9999-01-01
16667,21283,Senior Staff,1999-07-11,9999-01-01
17053,21546,Senior Staff,1988-02-16,9999-01-01
17368,21758,Senior Staff,1994-10-19,9999-01-01
17369,21758,Staff,1986-10-19,1994-10-19
17512,21861,Engineer,1999-02-12,9999-01-01
17292,21703,Staff,1997-09-08,9999-01-01
17831,22080,Staff,1997-03-03,9999-01-01
17668,21970,Senior Staff,1995-05-18,9999-01-01
17978,22185,Assistant Engineer,1996-03-26,2002-03-26
17979,22185,Engineer,2002-03-26,9999-01-01
20371,23814,Senior Staff,1998-03-06,9999-01-01
18033,22223,Staff,1999-04-15,9999-01-01
18049,22233,Staff,1999-04-29,9999-01-01
18164,22308,Engineer,1999-07-26,9999-01-01
18795,22729,Engineer,1992-08-03,1999-08-04
18796,22729,Senior Engineer,1999-08-04,9999-01-01
19113,22939,Engineer,1997-03-12,9999-01-01
19310,23082,Assistant Engineer,1998-05-21,9999-01-01
19386,23136,Engineer,1998-02-14,9999-01-01
19727,23369,Senior Staff,2002-05-09,9999-01-01
19728,23369,Staff,1997-05-09,2002-05-09
20372,23814,Staff,1991-03-06,1998-03-06
21957,24874,Engineer,1994-09-13,9999-01-01
21236,24397,Senior Staff,1994-03-28,9999-01-01
21237,24397,Staff,1988-03-28,1994-03-28
21522,24584,Senior Engineer,1995-06-09,9999-01-01
21969,24883,Senior Staff,1993-07-18,9999-01-01
23247,25734,Staff,1996-05-23,9999-01-01
22125,24987,Engineer,1988-07-19,1995-07-20
22126,24987,Senior Engineer,1995-07-20,9999-01-01
22181,25026,Engineer,1998-12-03,9999-01-01
22984,25558,Engineer,1997-05-24,9999-01-01
22997,25569,Senior Engineer,1988-06-29,9999-01-01
23132,25661,Senior Staff,1998-11-30,9999-01-01
23133,25661,Staff,1992-11-30,1998-11-30
23175,25688,Engineer,1986-03-12,1993-03-12
23176,25688,Senior Engineer,1993-03-12,9999-01-01
24032,26274,Senior Staff,1993-09-18,9999-01-01
23603,25980,Senior Staff,1994-12-31,9999-01-01
23604,25980,Staff,1986-12-31,1994-12-31
24033,26274,Staff,1986-09-18,1993-09-18
24828,26809,Engineer,1995-02-16,2000-02-16
24829,26809,Senior Engineer,2000-02-16,9999-01-01
26023,27608,Staff,1997-07-01,9999-01-01
24988,26913,Staff,1998-02-05,9999-01-01
25013,26931,Engineer,1988-06-05,1993-06-05
25014,26931,Senior Engineer,1993-06-05,9999-01-01
25057,26958,Senior Engineer,1987-08-11,9999-01-01
25096,26986,Assistant Engineer,1992-08-13,1997-08-13
25097,26986,Engineer,1997-08-13,9999-01-01
26100,27657,Engineer,1990-08-11,1997-08-11
26101,27657,Senior Engineer,1997-08-11,9999-01-01
26391,27856,Senior Engineer,1995-11-02,9999-01-01
25860,27498,Senior Staff,1997-09-15,9999-01-01
25861,27498,Staff,1989-09-15,1997-09-15
26431,27884,Engineer,1998-05-05,9999-01-01
26922,28216,Engineer,1995-05-24,9999-01-01
26654,28036,Senior Staff,1999-02-23,9999-01-01
26338,27819,Engineer,1990-02-23,1999-02-23
26339,27819,Senior Engineer,1999-02-23,9999-01-01
26365,27838,Engineer,1999-06-27,9999-01-01
26747,28098,Senior Staff,2000-08-07,9999-01-01
26748,28098,Staff,1994-08-08,2000-08-07
26935,28225,Senior Staff,1997-04-09,9999-01-01
26936,28225,Staff,1992-04-09,1997-04-09
27454,28574,Staff,1999-01-11,9999-01-01
28044,28964,Staff,1995-08-28,9999-01-01
27841,28826,Engineer,1987-12-13,1993-12-12
27842,28826,Senior Engineer,1993-12-12,9999-01-01
27886,28852,Engineer,1992-07-04,1997-07-04
27887,28852,Senior Engineer,1997-07-04,9999-01-01
27586,28662,Staff,1998-07-19,9999-01-01
29739,30120,Engineer,1998-01-18,9999-01-01
28352,29174,Senior Staff,2000-08-13,9999-01-01
28353,29174,Staff,1994-08-14,2000-08-13
28979,29603,Staff,1997-12-17,9999-01-01
29007,29622,Engineer,1993-07-01,2002-07-01
29008,29622,Senior Engineer,2002-07-01,9999-01-01
30229,30446,Technique Leader,1998-09-03,9999-01-01
30640,30732,Staff,1995-06-28,9999-01-01
30320,30506,Senior Staff,1997-01-27,9999-01-01
30511,30643,Senior Staff,1991-01-22,9999-01-01
30512,30643,Staff,1986-01-22,1991-01-22
30653,30742,Senior Staff,1997-08-14,9999-01-01
30654,30742,Staff,1992-08-14,1997-08-14
31024,30996,Senior Staff,1998-12-04,9999-01-01
30775,30823,Engineer,1999-02-26,9999-01-01
30875,30892,Engineer,1999-05-24,9999-01-01
31025,30996,Staff,1992-12-04,1998-12-04
31091,31036,Engineer,1991-03-20,1996-03-19
31092,31036,Senior Engineer,1996-03-19,9999-01-01
31456,31288,Technique Leader,1992-06-29,9999-01-01
32018,31669,Engineer,1996-09-14,9999-01-01
31342,31206,Senior Engineer,1997-11-04,9999-01-01
31885,31583,Senior Engineer,1996-12-09,9999-01-01
32461,31978,Engineer,1994-01-25,2000-01-25
32462,31978,Senior Engineer,2000-01-25,9999-01-01
32904,32278,Engineer,1997-04-29,9999-01-01
33020,32360,Engineer,1994-09-09,9999-01-01
32511,32013,Staff,1995-01-27,9999-01-01
32585,32062,Staff,1996-02-29,9999-01-01
32754,32177,Staff,1996-12-11,9999-01-01
33593,32751,Engineer,1995-08-19,2001-08-18
33311,32557,Technique Leader,1999-09-02,9999-01-01
33594,32751,Senior Engineer,2001-08-18,9999-01-01
36274,34571,Engineer,1991-08-05,1997-08-04
34814,33573,Engineer,1998-12-28,9999-01-01
35656,34144,Senior Staff,2001-12-06,9999-01-01
35657,34144,Staff,1994-12-06,2001-12-06
35993,34373,Technique Leader,1997-09-27,9999-01-01
33667,32804,Senior Staff,1999-07-23,9999-01-01
33668,32804,Staff,1991-07-23,1999-07-23
35264,33880,Senior Staff,1999-11-23,9999-01-01
35733,34199,Engineer,1999-03-06,9999-01-01
36275,34571,Senior Engineer,1997-08-04,9999-01-01
36904,34998,Senior Engineer,1986-04-25,9999-01-01
36627,34810,Senior Staff,1994-01-15,9999-01-01
36628,34810,Staff,1989-01-15,1994-01-15
36920,35008,Staff,1998-05-19,9999-01-01
37241,35222,Staff,1999-01-17,9999-01-01
37023,35073,Engineer,1986-11-01,1994-11-01
37024,35073,Senior Engineer,1994-11-01,9999-01-01
37291,35253,Senior Staff,1997-12-19,9999-01-01
37292,35253,Staff,1991-12-20,1997-12-19
37769,35578,Staff,1997-01-10,2002-07-15
37389,35326,Senior Staff,1999-11-17,9999-01-01
37390,35326,Staff,1994-11-17,1999-11-17
38572,36119,Engineer,1998-11-19,9999-01-01
37895,35659,Staff,1997-07-17,9999-01-01
38438,36028,Engineer,1994-05-11,2001-05-10
38439,36028,Senior Engineer,2001-05-10,9999-01-01
38977,36384,Senior Staff,1995-08-05,9999-01-01
38978,36384,Staff,1987-08-05,1995-08-05
38598,36138,Senior Engineer,1992-09-18,9999-01-01
39666,36841,Senior Staff,1999-02-06,9999-01-01
39080,36451,Engineer,1998-03-05,9999-01-01
39383,36651,Senior Engineer,1987-05-09,9999-01-01
39667,36841,Staff,1992-02-06,1999-02-06
40092,37121,Engineer,1999-06-18,9999-01-01
39909,36995,Engineer,1992-09-23,1998-09-23
39910,36995,Senior Engineer,1998-09-23,9999-01-01
39947,37024,Senior Staff,1999-04-28,9999-01-01
39948,37024,Staff,1990-04-28,1999-04-28
40777,37574,Senior Staff,1996-11-11,9999-01-01
40293,37257,Staff,1995-03-01,9999-01-01
40376,37310,Engineer,1997-09-19,9999-01-01
41745,38216,Staff,1999-07-06,9999-01-01
40931,37676,Engineer,1998-02-02,9999-01-01
40618,37468,Senior Engineer,1998-12-15,9999-01-01
40679,37507,Senior Staff,1993-07-04,9999-01-01
40680,37507,Staff,1987-07-05,1993-07-04
41787,38248,Staff,1998-02-24,9999-01-01
42133,38484,Staff,2000-01-28,9999-01-01
41845,38288,Senior Staff,2000-02-01,9999-01-01
41846,38288,Staff,1994-02-01,2000-02-01
41956,38364,Staff,1998-06-16,9999-01-01
41971,38374,Technique Leader,1989-10-02,9999-01-01
42572,38786,Engineer,1996-07-30,2002-07-30
42573,38786,Senior Engineer,2002-07-30,9999-01-01
42610,38813,Engineer,1998-02-15,9999-01-01
43933,39706,Senior Staff,1998-08-15,9999-01-01
42949,39033,Staff,1995-10-05,9999-01-01
43651,39511,Engineer,1998-11-22,2002-04-14
43934,39706,Staff,1992-08-15,1998-08-15
44530,40109,Engineer,1999-10-09,9999-01-01
44750,40262,Staff,1995-12-27,9999-01-01
44066,39793,Senior Staff,1991-01-16,9999-01-01
44093,39812,Assistant Engineer,1994-09-18,9999-01-01
44620,40170,Engineer,1986-12-11,1992-12-10
44621,40170,Senior Engineer,1992-12-10,9999-01-01
48896,43081,Engineer,1999-07-18,9999-01-01
45847,41008,Senior Staff,1990-02-05,9999-01-01
45848,41008,Staff,1985-02-05,1990-02-05
46018,41119,Staff,1999-07-02,9999-01-01
46384,41367,Senior Staff,1986-07-21,9999-01-01
47257,41964,Staff,1995-05-03,9999-01-01
47516,42138,Senior Staff,1999-11-23,9999-01-01
47517,42138,Staff,1993-11-23,1999-11-23
48083,42519,Engineer,1992-06-15,2000-06-15
48084,42519,Senior Engineer,2000-06-15,9999-01-01
48136,42557,Staff,1999-01-12,9999-01-01
48495,42810,Senior Engineer,1999-01-13,9999-01-01
48518,42826,Staff,1996-06-24,9999-01-01
49118,43236,Engineer,1999-11-06,9999-01-01
45811,40981,Technique Leader,1993-10-13,9999-01-01
46347,41339,Senior Engineer,1991-12-16,9999-01-01
47371,42043,Engineer,1989-06-02,1998-06-02
47372,42043,Senior Engineer,1998-06-02,9999-01-01
47906,42398,Senior Staff,1990-01-07,9999-01-01
48029,42480,Technique Leader,1994-04-07,9999-01-01
50239,43994,Senior Staff,2001-04-24,9999-01-01
49406,43438,Senior Staff,1999-07-13,9999-01-01
49407,43438,Staff,1991-07-13,1999-07-13
49431,43457,Senior Staff,2002-05-16,9999-01-01
49432,43457,Staff,1997-05-16,2002-05-16
50011,43845,Engineer,1999-04-01,9999-01-01
50240,43994,Staff,1992-04-24,2001-04-24
51007,44504,Senior Staff,1996-12-07,9999-01-01
50479,44155,Senior Engineer,1996-07-12,9999-01-01
51008,44504,Staff,1990-12-08,1996-12-07
51416,44781,Engineer,1996-11-04,9999-01-01
50890,44429,Staff,1997-07-11,9999-01-01
51505,44840,Engineer,2000-01-11,9999-01-01
53412,46126,Senior Staff,2002-04-10,9999-01-01
52463,45483,Senior Staff,1999-06-05,9999-01-01
52464,45483,Staff,1991-06-05,1999-06-05
52877,45764,Engineer,1997-10-15,9999-01-01
53111,45920,Senior Engineer,1990-07-06,9999-01-01
51228,44655,Staff,1994-04-16,9999-01-01
51778,45022,Staff,1999-11-15,9999-01-01
53413,46126,Staff,1996-04-10,2002-04-10
54028,46550,Engineer,1988-10-19,1995-10-20
53469,46162,Engineer,1986-01-12,1992-01-12
53470,46162,Senior Engineer,1992-01-12,9999-01-01
53527,46199,Engineer,1998-03-25,9999-01-01
54254,46707,Technique Leader,1987-07-17,9999-01-01
54268,46716,Staff,1997-05-19,9999-01-01
53673,46302,Senior Staff,2000-01-04,9999-01-01
54029,46550,Senior Engineer,1995-10-20,9999-01-01
54615,46944,Assistant Engineer,1997-11-22,9999-01-01
54348,46767,Staff,1996-02-09,9999-01-01
54446,46829,Engineer,1998-08-19,9999-01-01
55577,47586,Senior Engineer,1987-01-17,9999-01-01
55288,47395,Senior Engineer,1993-12-10,9999-01-01
55379,47454,Engineer,1991-03-19,1997-03-18
55380,47454,Senior Engineer,1997-03-18,9999-01-01
55778,47722,Staff,1999-11-19,9999-01-01
55408,47471,Technique Leader,1995-06-27,9999-01-01
55495,47530,Senior Staff,2002-05-07,9999-01-01
55496,47530,Staff,1997-05-07,2002-05-07
55522,47548,Technique Leader,1989-12-13,9999-01-01
57486,48860,Engineer,1993-03-04,1998-03-04
55957,47835,Senior Engineer,1997-11-07,9999-01-01
56385,48121,Technique Leader,1995-11-04,9999-01-01
57487,48860,Senior Engineer,1998-03-04,9999-01-01
57920,49147,Engineer,1989-07-15,1996-07-15
57921,49147,Senior Engineer,1996-07-15,9999-01-01
58249,49374,Engineer,1999-10-29,9999-01-01
59079,49931,Assistant Engineer,1997-10-05,9999-01-01
58295,49402,Engineer,1998-05-10,9999-01-01
58318,49421,Senior Staff,1992-07-08,9999-01-01
58319,49421,Staff,1985-07-08,1992-07-08
58747,49710,Engineer,1999-02-17,9999-01-01
59532,50242,Senior Engineer,1999-09-02,9999-01-01
59727,50372,Staff,1998-10-30,9999-01-01
59797,50420,Staff,1997-09-28,9999-01-01
60962,51211,Engineer,1991-05-24,1997-05-23
59937,50515,Engineer,1998-08-11,9999-01-01
60294,50754,Assistant Engineer,1985-10-09,1990-10-09
60295,50754,Engineer,1990-10-09,1995-10-09
60296,50754,Senior Engineer,1995-10-09,9999-01-01
60934,51191,Engineer,1988-01-28,1995-01-28
60935,51191,Senior Engineer,1995-01-28,9999-01-01
61278,51428,Senior Engineer,1994-08-09,9999-01-01
61203,51380,Staff,1996-07-03,9999-01-01
60963,51211,Senior Engineer,1997-05-23,9999-01-01
61053,51273,Senior Engineer,1996-11-15,9999-01-01
61727,51733,Engineer,1991-11-25,1999-11-25
61407,51519,Senior Staff,1999-04-03,9999-01-01
61408,51519,Staff,1993-04-03,1999-04-03
61447,51547,Assistant Engineer,1998-11-01,9999-01-01
61728,51733,Senior Engineer,1999-11-25,9999-01-01
61761,51752,Staff,1997-06-18,9999-01-01
63493,52902,Assistant Engineer,1995-12-17,9999-01-01
61917,51858,Staff,1998-02-26,9999-01-01
62939,52538,Staff,1999-01-01,2002-02-28
63518,52920,Engineer,1991-12-21,1996-12-20
63519,52920,Senior Engineer,1996-12-20,9999-01-01
63918,53187,Engineer,1997-10-12,9999-01-01
63638,52999,Assistant Engineer,1999-11-09,9999-01-01
63871,53157,Senior Engineer,1992-12-04,9999-01-01
64515,53598,Engineer,1996-12-19,9999-01-01
64314,53463,Senior Engineer,1999-05-09,9999-01-01
64384,53507,Engineer,1996-04-17,9999-01-01
64860,53823,Engineer,1994-04-02,2002-04-02
64684,53710,Engineer,1999-04-09,2002-06-07
64861,53823,Senior Engineer,2002-04-02,9999-01-01
64896,53848,Staff,1999-01-05,9999-01-01
66240,54758,Senior Staff,1996-06-18,9999-01-01
65836,54481,Technique Leader,1999-08-25,9999-01-01
65171,54035,Senior Staff,1996-08-12,9999-01-01
65584,54317,Staff,1999-11-12,9999-01-01
65667,54372,Senior Engineer,1995-11-23,9999-01-01
66192,54723,Senior Staff,1996-10-02,9999-01-01
66241,54758,Staff,1991-06-19,1996-06-18
66352,54835,Assistant Engineer,1996-01-06,2002-01-05
66353,54835,Engineer,2002-01-05,9999-01-01
69175,56727,Engineer,1998-02-19,9999-01-01
66618,55008,Senior Engineer,1993-07-04,9999-01-01
69588,57008,Engineer,1994-03-06,2001-03-06
69313,56819,Senior Staff,1996-08-28,9999-01-01
69314,56819,Staff,1989-08-28,1996-08-28
69450,56912,Engineer,1996-06-01,9999-01-01
69480,56932,Engineer,1997-05-07,9999-01-01
69589,57008,Senior Engineer,2001-03-06,9999-01-01
69635,57041,Engineer,1995-11-09,9999-01-01
71409,58245,Technique Leader,1999-10-04,9999-01-01
71359,58209,Staff,1999-02-06,9999-01-01
69749,57116,Assistant Engineer,1994-04-17,2000-04-16
69750,57116,Engineer,2000-04-16,9999-01-01
70188,57416,Staff,1999-02-27,9999-01-01
70231,57445,Senior Staff,1992-10-01,9999-01-01
70751,57799,Engineer,1995-12-31,9999-01-01
71171,58082,Technique Leader,1991-01-04,9999-01-01
71860,58537,Engineer,1995-10-20,9999-01-01
72066,58672,Engineer,1998-09-24,9999-01-01
71713,58439,Senior Staff,1994-10-12,9999-01-01
71714,58439,Staff,1986-10-12,1994-10-12
71786,58487,Engineer,1988-03-10,1994-03-10
71787,58487,Senior Engineer,1994-03-10,9999-01-01
72384,58889,Technique Leader,1997-02-16,9999-01-01
72227,58781,Engineer,1999-09-25,9999-01-01
72239,58791,Senior Staff,1995-01-02,9999-01-01
72240,58791,Staff,1989-01-02,1995-01-02
72296,58828,Senior Engineer,1992-04-25,9999-01-01
72114,58701,Senior Engineer,1998-06-16,9999-01-01
72443,58930,Engineer,1994-12-29,2000-12-28
72444,58930,Senior Engineer,2000-12-28,9999-01-01
72826,59180,Engineer,1992-12-02,1999-12-03
72827,59180,Senior Engineer,1999-12-03,9999-01-01
72851,59198,Senior Engineer,1996-04-09,9999-01-01
74736,60473,Staff,1999-05-31,9999-01-01
73809,59846,Senior Engineer,1998-02-09,9999-01-01
74528,60331,Engineer,1990-07-08,1998-07-08
74529,60331,Senior Engineer,1998-07-08,9999-01-01
75870,61253,Engineer,1996-06-04,2001-06-04
75151,60764,Senior Engineer,1998-10-29,9999-01-01
75871,61253,Senior Engineer,2001-06-04,9999-01-01
76813,61890,Engineer,1993-05-23,1999-05-23
76030,61357,Staff,1999-06-04,9999-01-01
76493,61674,Engineer,1997-12-07,9999-01-01
76712,61819,Engineer,2000-01-26,2002-07-22
76156,61440,Staff,1998-02-20,9999-01-01
76814,61890,Senior Engineer,1999-05-23,9999-01-01
77197,62152,Engineer,1994-11-30,2000-11-29
77198,62152,Senior Engineer,2000-11-29,9999-01-01
78030,62705,Senior Engineer,1996-09-10,9999-01-01
77220,62169,Assistant Engineer,1995-03-17,9999-01-01
78067,62731,Engineer,1999-02-15,9999-01-01
77458,62325,Engineer,1988-06-25,1994-06-25
77459,62325,Senior Engineer,1994-06-25,9999-01-01
77486,62344,Senior Staff,1998-10-01,9999-01-01
77877,62607,Engineer,1985-09-22,1992-09-22
77878,62607,Senior Engineer,1992-09-22,9999-01-01
78080,62742,Senior Staff,1993-10-19,9999-01-01
78081,62742,Staff,1988-10-19,1993-10-19
78162,62797,Senior Staff,1996-12-02,9999-01-01
78163,62797,Staff,1990-12-03,1996-12-02
79884,63963,Engineer,1992-11-07,2000-11-07
79594,63761,Engineer,1999-09-17,9999-01-01
79699,63837,Engineer,1998-06-14,9999-01-01
79468,63676,Senior Staff,2002-07-04,9999-01-01
79469,63676,Staff,1997-07-04,2002-07-04
79885,63963,Senior Engineer,2000-11-07,9999-01-01
80872,64630,Staff,1998-07-31,9999-01-01
80060,64079,Staff,1998-12-14,9999-01-01
80540,64409,Engineer,1989-06-25,1994-06-25
80541,64409,Senior Engineer,1994-06-25,9999-01-01
80171,64158,Senior Staff,1991-07-09,9999-01-01
80172,64158,Staff,1986-07-09,1991-07-09
80187,64168,Engineer,1997-07-03,9999-01-01
80242,64208,Senior Engineer,1995-03-15,9999-01-01
81312,64925,Technique Leader,1991-06-06,9999-01-01
81749,65225,Senior Staff,1995-07-24,9999-01-01
81410,64993,Senior Engineer,1999-09-09,9999-01-01
82030,65421,Engineer,1993-10-01,1999-10-01
82031,65421,Senior Engineer,1999-10-01,9999-01-01
82044,65432,Technique Leader,1995-11-06,9999-01-01
82137,65496,Senior Engineer,1999-02-17,9999-01-01
81750,65225,Staff,1990-07-24,1995-07-24
82570,65787,Senior Staff,1996-09-19,9999-01-01
82386,65663,Engineer,1995-05-26,2002-05-26
82387,65663,Senior Engineer,2002-05-26,9999-01-01
82471,65721,Senior Staff,1993-12-28,9999-01-01
82472,65721,Staff,1986-12-28,1993-12-28
82316,65617,Engineer,1998-10-21,9999-01-01
82342,65635,Staff,1997-06-13,9999-01-01
82571,65787,Staff,1990-09-20,1996-09-19
82616,65816,Staff,1997-11-24,9999-01-01
83770,66578,Senior Staff,2002-04-26,9999-01-01
82887,65993,Staff,1995-10-19,9999-01-01
83771,66578,Staff,1995-04-26,2002-04-26
83843,66625,Engineer,1996-10-10,9999-01-01
84199,66874,Engineer,1996-09-05,9999-01-01
83944,66696,Senior Staff,1997-10-20,9999-01-01
84255,66913,Senior Staff,1996-09-10,9999-01-01
84636,67169,Engineer,1996-08-10,2001-08-10
84548,67110,Assistant Engineer,1992-10-11,2001-10-11
84549,67110,Engineer,2001-10-11,9999-01-01
84637,67169,Senior Engineer,2001-08-10,9999-01-01
85086,67476,Staff,1999-11-28,9999-01-01
85831,67975,Engineer,1993-07-05,2001-07-05
85582,67809,Staff,1996-08-01,9999-01-01
85624,67838,Technique Leader,1988-09-24,9999-01-01
85832,67975,Senior Engineer,2001-07-05,9999-01-01
86806,68627,Assistant Engineer,1994-05-20,2002-05-20
86807,68627,Engineer,2002-05-20,9999-01-01
86895,68686,Engineer,1992-02-17,2001-02-16
86896,68686,Senior Engineer,2001-02-16,9999-01-01
88727,69910,Engineer,1993-08-08,9999-01-01
87334,68969,Engineer,1998-05-15,9999-01-01
87010,68761,Staff,1995-10-18,9999-01-01
87362,68988,Senior Staff,2000-12-06,9999-01-01
87363,68988,Staff,1991-12-07,2000-12-06
88465,69738,Senior Engineer,1993-02-02,9999-01-01
89601,70510,Staff,1995-09-12,9999-01-01
88751,69928,Senior Staff,2000-04-09,9999-01-01
88752,69928,Staff,1995-04-10,2000-04-09
89305,70304,Engineer,1999-09-09,9999-01-01
90095,70840,Engineer,1986-10-25,1994-10-25
89764,70617,Senior Staff,1996-10-03,9999-01-01
89884,70699,Senior Staff,1999-07-05,9999-01-01
89885,70699,Staff,1992-07-04,1999-07-05
90096,70840,Senior Engineer,1994-10-25,9999-01-01
93699,73284,Senior Staff,2000-08-19,9999-01-01
90936,71408,Senior Staff,1995-06-15,9999-01-01
91243,71614,Staff,1997-05-19,9999-01-01
91272,71634,Engineer,1998-07-19,9999-01-01
92259,72288,Engineer,1995-05-15,2000-05-14
92260,72288,Senior Engineer,2000-05-14,9999-01-01
92639,72554,Senior Staff,2000-06-25,9999-01-01
92640,72554,Staff,1991-06-26,2000-06-25
90799,71316,Engineer,1997-01-03,9999-01-01
91018,71460,Senior Engineer,1996-03-22,9999-01-01
91034,71471,Engineer,1998-02-14,9999-01-01
91076,71499,Senior Engineer,1998-08-16,9999-01-01
91497,71786,Staff,1995-03-19,9999-01-01
91800,71987,Staff,1999-02-03,9999-01-01
92454,72420,Staff,1995-01-25,9999-01-01
93122,72883,Engineer,1998-03-16,9999-01-01
93728,73303,Senior Engineer,1999-07-20,9999-01-01
93700,73284,Staff,1993-08-19,2000-08-19
94112,73564,Senior Staff,2001-08-12,9999-01-01
93857,73391,Senior Staff,1996-03-18,9999-01-01
93987,73479,Technique Leader,1998-02-24,9999-01-01
94113,73564,Staff,1993-08-12,2001-08-12
96387,75102,Staff,1999-02-06,9999-01-01
95385,74430,Staff,2000-01-09,9999-01-01
96148,74939,Senior Engineer,1997-04-07,9999-01-01
95065,74213,Staff,1997-05-29,9999-01-01
95080,74224,Engineer,1998-11-15,9999-01-01
95921,74798,Staff,1998-12-14,9999-01-01
96294,75037,Engineer,1994-02-26,9999-01-01
96456,75150,Engineer,1989-03-15,1997-03-15
96457,75150,Senior Engineer,1997-03-15,9999-01-01
96916,75468,Senior Staff,1999-05-25,9999-01-01
96865,75433,Engineer,1990-03-03,1995-03-03
96866,75433,Senior Engineer,1995-03-03,9999-01-01
96982,75512,Engineer,1999-10-25,9999-01-01
96999,75522,Senior Engineer,1988-01-21,9999-01-01
97349,75759,Technique Leader,1999-02-19,9999-01-01
97065,75570,Staff,1998-06-04,9999-01-01
98316,76418,Senior Engineer,1998-06-25,9999-01-01
98006,76205,Staff,1998-09-20,9999-01-01
98287,76398,Senior Staff,2000-01-31,9999-01-01
